"Title","Authors","Corporate Authors","Editors","Book Editors","Source Title","Publication Date","Publication Year","Volume","Issue","Part Number","Supplement","Special Issue","Beginning Page","Ending Page","Article Number","DOI","Conference Title","Conference Date","Total Citations","Average per Year","2016","2017","2018","2019"
"Light-induced lattice expansion leads to high-efficiency perovskite solar cells","Tsai, Hsinhan; Asadpour, Reza; Blancon, Jean-Christophe; Stoumpos, Constantinos C.; Durand, Olivier; Strzalka, Joseph W.; Chen, Bo; Verduzco, Rafael; Ajayan, Pulickel M.; Tretiak, Sergei; Even, Jack; Alam, Muhammad Ashraf; Kanatzidis, Mercouri G.; Nie, Wanyi; Mohite, Aditya D.",NA,NA,NA,"SCIENCE","APR 6 2018","2018","360","6384",NA,NA,NA,"67","70","aao86","10.1126/science.aap8671",NA,NA,"74","37",0,0,27,47
"Planning chemical syntheses with deep neural networks and symbolic AI","Segler, Marwin H. S.; Preuss, Mike; Waller, Mark P.",NA,NA,NA,"NATURE","MAR 29 2018","2018","555","7698",NA,NA,NA,"604","+",NA,"10.1038/nature25978",NA,NA,"74","37",0,0,38,36
"Genome editing reveals a role for OCT4 in human embryogenesis","Fogarty, Norah M. E.; McCarthy, Afshan; Snijders, Kirsten E.; Powell, Benjamin E.; Kubikova, Nada; Lakeley, Paul B.; Lea, Rebecca; Lder, Kay E.; Wamaitha, Sissy E.; Kim, Daesik; Maciulyte, Valdone; Kleinjung, Jens; Kim, Jin-Soo; Wells, Dagan; Vallier, Ludovic; Ertero, Alessandro B.; Urner, James M. A. T.; Niakan, Kathy K.",NA,NA,NA,"NATURE","OCT 5 2017","2017","550","7674",NA,NA,NA,"67","+",NA,"10.1038/nature24033",NA,NA,"74","24.670000000000002",0,9,42,23
"Chromatin states define tumour-specific T cell dysfunction and reprogramming","Philip, Mary; Fairchild, Lauren; Sun, Liping; Horste, Ellen L.; Amara, Steven C.; Shakiba, Mojdeh; Scott, Andrew C. .; Viale, Agnes; Lauer, Peter; Erghoub, Taha M.; Hellmann, Matthew D.; Wolchok, Jedd D.; Leslie, Christina S.; Schietinger, Andrea",NA,NA,NA,"NATURE","MAY 25 2017","2017","545","7655",NA,NA,NA,"452","+",NA,"10.1038/nature22367",NA,NA,"74","24.670000000000002",0,7,46,21
"The role of interfacial lipids in stabilizing membrane protein oligomers","Gupta, Kallol; Donlan, Joseph A. C.; Hopper, Jonathan T. S.; Uzdavinys, Povilas; Landreh, Michael; Struwe, Weston B.; Drew, David; Baldwin, Andrew J.; Stansfeld, Phillip J.; Robinson, Carol V.",NA,NA,NA,"NATURE","JAN 19 2017","2017","541","7637",NA,NA,NA,"421","+",NA,"10.1038/nature20820",NA,NA,"74","24.670000000000002",0,17,39,18
"The magnetic field and turbulence of the cosmic web measured using a brilliant fast radio burst","Ravi, V.; Shannon, R. M.; Bailes, M.; Bannister, K.; Bhandari, S.; Bhat, N. D. R.; Burke-Spolaor, S.; Caleb, M.; Flynn, C.; Jameson, A.; Johnston, S.; Keane, E. F.; Kerr, M.; Tiburzi, C.; Tuntsov, A. V.; Vedantham, H. K.",NA,NA,NA,"SCIENCE","DEC 9 2016","2016","354","6317",NA,NA,NA,"1249","1252",NA,"10.1126/science.aaf6807",NA,NA,"74","18.5",1,27,33,13
"Detection of human adaptation during the past 2000 years","Field, Yair; Boyle, Evan A.; Telis, Natalie; Gao, Ziyue; Gaulton, Kyle J.; Golan, David; Yengo, Loic; Rocheleau, Ghislain; Froguel, Philippe; McCarthy, Mark I.; Pritchard, Jonathan K.",NA,NA,NA,"SCIENCE","NOV 11 2016","2016","354","6313",NA,NA,NA,"760","764",NA,"10.1126/science.aag0776",NA,NA,"74","18.5",0,28,31,15
"A transcription factor hierarchy defines an environmental stress response network","Song, Liang; Huang, Shao-shan Carol; Wise, Aaron; Castanon, Rosa; Nery, Joseph R.; Chen, Huaming; Watanabe, Marina; Thomas, Jerushah; Bar-Joseph, Ziv; Ecker, Joseph R.",NA,NA,NA,"SCIENCE","NOV 4 2016","2016","354","6312",NA,NA,NA,NA,NA,"aag1550","10.1126/science.aag1550",NA,NA,"74","18.5",1,18,33,22
"A partially differentiated interior for (1) Ceres deduced from its gravity field and shape","Park, R. S.; Konopliv, A. S.; Bills, B. G.; Rambaux, N.; Castillo-Rogez, J. C.; Raymond, C. A.; Vaughan, A. T.; Ermakov, A. I.; Zuber, M. T.; Fu, R. R.; Toplis, M. J.; Russell, C. T.; Nathues, A.; Preusker, F.",NA,NA,NA,"NATURE","SEP 22 2016","2016","537","7621",NA,NA,NA,"515","+",NA,"10.1038/nature18955",NA,NA,"74","18.5",5,17,28,24
"Oxidative diversification of amino acids and peptides by small-molecule iron catalysis","Osberger, Thomas J.; Rogness, Donald C.; Kohrt, Jeffrey T.; Stepan, Antonia F.; White, M. Christina",NA,NA,NA,"NATURE","SEP 8 2016","2016","537","7619",NA,NA,NA,"214","219",NA,"10.1038/nature18941",NA,NA,"74","18.5",3,26,36,9
"Radiative human body cooling by nanoporous polyethylene textile","Hsu, Po-Chun; Song, Alex Y.; Catrysse, Peter B.; Liu, Chong; Peng, Yucan; Xie, Jin; Fan, Shanhui; Cui, Yi",NA,NA,NA,"SCIENCE","SEP 2 2016","2016","353","6303",NA,NA,NA,"1019","1023",NA,"10.1126/science.aaf5471",NA,NA,"74","18.5",3,21,30,20
"Catalytic, asymmetric difluorination of alkenes to generate difluoromethylated stereocenters","Banik, Steven M.; Medley, Jonathan William; Jacobsen, Eric N.",NA,NA,NA,"SCIENCE","JUL 1 2016","2016","353","6294",NA,NA,NA,"51","54",NA,"10.1126/science.aaf8078",NA,NA,"74","18.5",8,26,31,9
"Defining the consequences of genetic variation on a proteome-wide scale","Chick, Joel M.; Munger, Steven C.; Simecek, Petr; Huttlin, Edward L.; Choi, Kwangbom; Gatti, Daniel M.; Raghupathy, Narayanan; Svenson, Karen L.; Churchill, Gary A.; Gygi, Steven P.",NA,NA,NA,"NATURE","JUN 23 2016","2016","534","7608",NA,NA,NA,"500","+",NA,"10.1038/nature18270",NA,NA,"74","18.5",6,33,24,11
"Direct measurement of thermal conductivity in solid iron at planetary core conditions","Konopkova, Zuzana; McWilliams, R. Stewart; Gomez-Perez, Natalia; Goncharov, Alexander F.",NA,NA,NA,"NATURE","JUN 2 2016","2016","534","7605",NA,NA,NA,"99","+",NA,"10.1038/nature18009",NA,NA,"74","18.5",7,27,30,10
"Maintenance and propagation of a deleterious mitochondrial genome by the mitochondrial unfolded protein response","Lin, Yi-Fan; Schulz, Anna M.; Pellegrino, Mark W.; Lu, Yun; Shaham, Shai; Haynes, Cole M.",NA,NA,NA,"NATURE","MAY 19 2016","2016","533","7603",NA,NA,NA,"416","+",NA,"10.1038/nature17989",NA,NA,"74","18.5",9,28,32,5
"On-chip noninterference angular momentum multiplexing of broadband light","Ren, Haoran; Li, Xiangping; Zhang, Qiming; Gu, Min",NA,NA,NA,"SCIENCE","MAY 13 2016","2016","352","6287",NA,NA,NA,"805","809",NA,"10.1126/science.aaf1112",NA,NA,"74","18.5",3,23,35,13
"Molecular architecture of the human U4/U6.U5 tri-snRNP","Agafonov, Dmitry E.; Kastner, Berthold; Dybkov, Olexandr; Hofele, Romina V.; Liu, Wen-Ti; Urlaub, Henning; Luehrmann, Reinhard; Stark, Holger",NA,NA,NA,"SCIENCE","MAR 25 2016","2016","351","6280",NA,NA,NA,"1416","1420",NA,"10.1126/science.aad2085",NA,NA,"74","18.5",20,30,20,4
"Structures of two distinct conformations of holo-non-ribosomal peptide synthetases","Drake, Eric J.; Miller, Bradley R.; Shi, Ce; Tarrasch, Jeffrey T.; Sundlov, Jesse A.; Allen, C. Leigh; Skiniotis, Georgios; Aldrich, Courtney C.; Gulick, Andrew M.",NA,NA,NA,"NATURE","JAN 14 2016","2016","529","7585",NA,NA,NA,"235","U289",NA,"10.1038/nature16163",NA,NA,"74","18.5",19,26,21,8
"Targeting PTPRK-RSPO3 colon tumours promotes differentiation and loss of stem-cell function","Storm, Elaine E.; Durinck, Steffen; de Sousa e Melo, Felipe; Tremayne, Jarrod; Kljavin, Noelyn; Tan, Christine; Ye, Xiaofen; Chiu, Cecilia; Thinh Pham; Hongo, Jo-Anne; Bainbridge, Travis; Firestein, Ron; Blackwood, Elizabeth; Metcalfe, Ciara; Stawiski, Eric W.; Yauch, Robert L.; Wu, Yan; de Sauvage, Frederic J.",NA,NA,NA,"NATURE","JAN 7 2016","2016","529","7584",NA,NA,NA,"97","+",NA,"10.1038/nature16466",NA,NA,"74","18.5",13,28,22,11
"Global warming transforms coral reef assemblages","Hughes, Terry P.; Kerry, James T.; Baird, Andrew H.; Connolly, Sean R.; Dietzel, Andreas; Eakin, C. Mark; Heron, Scott F.; Hoey, Andrew S.; Hoogenboom, Mia O.; Liu, Gang; McWilliam, Michael J.; Pears, Rachel J.; Pratchett, Morgan S.; Skirving, William J.; Stella, Jessica S.; Torda, Gergely",NA,NA,NA,"NATURE","APR 26 2018","2018","556","7702",NA,NA,NA,"492","+",NA,"10.1038/s41586-018-0041-2",NA,NA,"73","36.5",0,0,26,47
"Patient HLA class I genotype influences cancer response to checkpoint blockade immunotherapy","Chowell, Diego; Morris, Luc G. T.; Grigg, Claud M.; Weber, Jeffrey K.; Samstein, Robert M.; Makarov, Vladimir; Kuo, Fengshen; Kendall, Sviatoslav M.; Requena, David; Riaz, Nadeem; Greenbaum, Benjamin; Carroll, James; Garon, Edward; Hyman, David M.; Zehir, Ahmet; Solit, David; Berger, Michael; Zhou, Ruhong; Rizvi, Naiyer A.; Chan, Timothy A.",NA,NA,NA,"SCIENCE","FEB 2 2018","2018","359","6375",NA,NA,NA,"582","+",NA,"10.1126/science.aao4572",NA,NA,"73","36.5",0,0,39,34
"Microglia-derived ASC specks cross-seed amyloid-beta in Alzheimer's disease","Venegas, Carmen; Kumar, Sathish; Franklin, Bernardo S.; Dierkes, Tobias; Brinkschulte, Rebecca; Tejera, Dario; Vieira-Saecker, Ana; Schwartz, Stephanie; Santarelli, Francesco; Kummer, Markus P.; Griep, Angelika; Gelpi, Ellen; Beilharz, Michael; Riedel, Dietmar; Golenbock, Douglas T.; Geyer, Matthias; Walter, Jochen; Latz, Eicke; Heneka, Michael T.",NA,NA,NA,"NATURE","DEC 21 2017","2017","552","7685",NA,NA,NA,"355","+",NA,"10.1038/nature25158",NA,NA,"73","24.329999999999998",0,1,53,19
"Promoter-bound METTL3 maintains myeloid leukaemia by m(6)A-dependent translation control","Barbieri, Isaia; Tzelepis, Konstantinos; Pandolfini, Luca; Shi, Junwei; Millan-Zambrano, Gonzalo; Robson, Samuel C.; Aspris, Demetrios; Migliori, Valentina; Bannister, Andrew J.; Han, Namshik; De Braekeleer, Etienne; Ponstingl, Hannes; Hendrick, Alan; Vakoc, Christopher R.; Vassiliou, George S.; Kouzarides, Tony",NA,NA,NA,"NATURE","DEC 7 2017","2017","552","7683",NA,NA,NA,"126","+",NA,"10.1038/nature24678",NA,NA,"73","24.329999999999998",0,0,36,37
"A neoantigen fitness model predicts tumour response to checkpoint blockade immunotherapy","Luksza, Marta; Riaz, Nadeem; Makarov, Vladimir; Balachandran, Vinod P.; Hellmann, Matthew D.; Solovyov, Alexander; Rizvi, Naiyer A.; Merghoub, Taha; Levine, Arnold J.; Chan, Timothy A.; Wolchok, Jedd D.; Greenbaum, Benjamin D.",NA,NA,NA,"NATURE","NOV 23 2017","2017","551","7681",NA,NA,NA,"517","+",NA,"10.1038/nature24473",NA,NA,"73","24.329999999999998",0,1,43,29
"Ground-to-satellite quantum teleportation","Ren, Ji-Gang; Xu, Ping; Yong, Hai-Lin; Zhang, Liang; Liao, Sheng-Kai; Yin, Juan; Liu, Wei-Yue; Cai, Wen-Qi; Yang, Meng; Li, Li; Yang, Kui-Xing; Han, Xuan; Yao, Yong-Qiang; Li, Ji; Wu, Hai-Yan; Wan, Song; Liu, Lei; Liu, Ding-Quan; Kuang, Yao-Wu; He, Zhi-Ping; Shang, Peng; Guo, Cheng; Zheng, Ru-Hua; Tian, Kai; Zhu, Zhen-Cai; Liu, Nai-Le; Lu, Chao-Yang; Shu, Rong; Chen, Yu-Ao; Peng, Cheng-Zhi; Wang, Jian-Yu; Pan, Jian-Wei",NA,NA,NA,"NATURE","SEP 7 2017","2017","549","7670",NA,NA,NA,"70","+",NA,"10.1038/nature23675",NA,NA,"73","24.329999999999998",0,8,43,22
"Genome-scale activation screen identifies a lncRNA locus regulating a gene neighbourhood","Joung, Julia; Engreitz, Jesse M.; Konermann, Silvana; Abudayyeh, Omar O.; Verdine, Vanessa K.; Aguet, Francois; Gootenberg, Jonathan S.; Sanjana, Neville E.; Wright, Jason B.; Fulco, Charles P.; Tseng, Yuen-Yi; Yoon, Charles H.; Boehm, Jesse S.; Lander, Eric S.; Zhang, Feng",NA,NA,NA,"NATURE","AUG 17 2017","2017","548","7667",NA,NA,NA,"343","+",NA,"10.1038/nature23451",NA,NA,"73","24.329999999999998",0,4,45,24
"Experimental signatures of the mixed axial-gravitational anomaly in the Weyl semimetal NbP","Gooth, Johannes; Niemann, Anna C.; Meng, Tobias; Grushin, Adolfo G.; Landsteiner, Karl; Gotsmann, Bernd; Menges, Fabian; Schmidt, Marcus; Shekhar, Chandra; Suess, Vicky; Huehne, Ruben; Rellinghaus, Bernd; Felser, Claudia; Yan, Binghai; Nielsch, Kornelius",NA,NA,NA,"NATURE","JUL 20 2017","2017","547","7663",NA,NA,NA,"324","+",NA,"10.1038/nature23005",NA,NA,"73","24.329999999999998",0,7,44,22
"Vitamin B-3 modulates mitochondrial vulnerability and prevents glaucoma in aged mice","Williams, Pete A.; Harder, Jeffrey M.; Foxworth, Nicole E.; Cochran, Kelly E.; Philip, Vivek M.; Porciatti, Vittorio; Smithies, Oliver; John, Simon W. M.",NA,NA,NA,"SCIENCE","FEB 17 2017","2017","355","6326",NA,NA,NA,"756","760",NA,"10.1126/science.aal0092",NA,NA,"73","24.329999999999998",0,15,42,16
"Homer1a drives homeostatic scaling-down of excitatory synapses during sleep","Diering, Graham H.; Nirujogi, Raja S.; Roth, Richard H.; Worley, Paul F.; Pandey, Akhilesh; Huganir, Richard L.",NA,NA,NA,"SCIENCE","FEB 3 2017","2017","355","6324",NA,NA,NA,"511","+",NA,"10.1126/science.aai8355",NA,NA,"73","24.329999999999998",0,28,25,20
"PSYCHOLOGY Gender stereotypes about intellectual ability emerge early and influence children's interests","Bian, Lin; Leslie, Sarah-Jane; Cimpian, Andrei",NA,NA,NA,"SCIENCE","JAN 27 2017","2017","355","6323",NA,NA,NA,"389","+",NA,"10.1126/science.aah6524",NA,NA,"73","24.329999999999998",0,11,42,20
"Braiding a molecular knot with eight crossings","Danon, Jonathan J.; Kruger, Anneke; Leigh, David A.; Lemonnier, Jean-Francois; Stephens, Alexander J.; Vitorica-Yrezabal, Inigo J.; Woltering, Steffen L.",NA,NA,NA,"SCIENCE","JAN 13 2017","2017","355","6321",NA,NA,NA,"159","+",NA,"10.1126/science.aal1619",NA,NA,"73","24.329999999999998",0,22,38,13
"The structural basis of modified nucleosome recognition by 53BP1","Wilson, Marcus D.; Benlekbir, Samir; Fradet-Turcotte, Amelie; Sherker, Alana; Julien, Jean-Philippe; McEwan, Andrea; Noordermeer, Sylvie M.; Sicheri, Frank; Rubinstein, John L.; Durocher, Daniel",NA,NA,NA,"NATURE","AUG 4 2016","2016","536","7614",NA,NA,NA,"100","+",NA,"10.1038/nature18951",NA,NA,"73","18.25",2,27,30,14
"Direct time-domain observation of attosecond final-state lifetimes in photoemission from solids","Tao, Zhensheng; Chen, Cong; Szilvasi, Tibor; Keller, Mark; Mavrikakis, Manos; Kapteyn, Henry; Murnane, Margaret",NA,NA,NA,"SCIENCE","JUL 1 2016","2016","353","6294",NA,NA,NA,"62","67",NA,"10.1126/science.aaf6793",NA,NA,"73","18.25",5,26,34,8
"EBI2 augments Tfh cell fate by promoting interaction with IL-2-quenching dendritic cells","Li, Jianhua; Lu, Erick; Yi, Tangsheng; Cyster, Jason G.",NA,NA,NA,"NATURE","MAY 5 2016","2016","533","7601",NA,NA,NA,"110","+",NA,"10.1038/nature17947",NA,NA,"73","18.25",7,23,26,17
"Structure of transcribing mammalian RNA polymerase II","Bernecky, Carrie; Herzog, Franz; Baumeister, Wolfgang; Plitzko, Juergen M.; Cramer, Patrick",NA,NA,NA,"NATURE","JAN 28 2016","2016","529","7587",NA,NA,NA,"551","+",NA,"10.1038/nature16482",NA,NA,"73","18.25",18,27,25,3
"The structure of the beta-barrel assembly machinery complex","Bakelar, Jeremy; Buchanan, Susan K.; Noinaj, Nicholas",NA,NA,NA,"SCIENCE","JAN 8 2016","2016","351","6269",NA,NA,NA,"180","186",NA,"10.1126/science.aad3460",NA,NA,"73","18.25",15,32,21,5
"Sieving hydrogen isotopes through two-dimensional crystals","Lozada-Hidalgo, M.; Hu, S.; Marshall, O.; Mishchenko, A.; Grigorenko, A. N.; Dryfe, R. A. W.; Radha, B.; Grigorieva, I. V.; Geim, A. K.",NA,NA,NA,"SCIENCE","JAN 1 2016","2016","351","6268",NA,NA,NA,"68","70",NA,"10.1126/science.aac9726",NA,NA,"73","18.25",9,26,25,13
"HER kinase inhibition in patients with HER2-and HER3-mutant cancers","Hyman, David M.; Piha-Paul, Sarina A.; Won, Helen; Rodon, Jordi; Saura, Cristina; Shapiro, Geoffrey I.; Juric, Dejan; Quinn, David I.; Moreno, Victor; Doger, Bernard; Mayer, Ingrid A.; Boni, Valentina; Calvo, Emiliano; Loi, Sherene; Lockhart, Albert C.; Erinjeri, Joseph P.; Scaltriti, Maurizio; Ulaner, Gary A.; Patel, Juber; Tang, Jiabin; Beer, Hannah; Selcuklu, S. Duygu; Hanrahan, Aphrothiti J.; Bouvier, Nancy; Melcer, Myra; Murali, Rajmohan; Schram, Alison M.; Smyth, Lillian M.; Jhaveri, Komal; Li, Bob T.; Drilon, Alexander; Harding, James J.; Iyer, Gopa; Taylor, Barry S.; Berger, Michael F.; Cutler, Richard E., Jr.; Xu, Feng; Butturini, Anna; Eli, Lisa D.; Mann, Grace; Farrell, Cynthia; Lalani, Alshad S.; Bryce, Richard P.; Arteaga, Carlos L.; Meric-Bernstam, Funda; Baselga, Jose; Solit, David B.",NA,NA,NA,"NATURE","FEB 8 2018","2018","554","7691",NA,NA,NA,"189","194",NA,"10.1038/nature25475",NA,NA,"72","36",0,0,43,29
"The extracellular matrix protein agrin promotes heart regeneration in mice","Bassat, Elad; Mutlak, Yara Eid; Genzelinakh, Alex; Shadrin, Ilya Y.; Umansky, Kfir Baruch; Yifa, Oren; Kain, David; Rajchman, Dana; Leach, John; Bassat, Daria Riabov; Udi, Yael; Sarig, Rachel; Sagi, Irit; Martin, James F.; Bursac, Nenad; Cohen, Shenhav; Tzahor, Eldad",NA,NA,NA,"NATURE","JUL 13 2017","2017","547","7662",NA,NA,NA,"179","+",NA,"10.1038/nature22978",NA,NA,"72","24",0,8,40,24
"Discovery of orbital-selective Cooper pairing in FeSe","Sprau, P. O.; Kostin, A.; Kreisel, A.; Bohmer, A. E.; Taufour, V.; Canfield, P. C.; Mukherjee, S.; Hirschfeld, P. J.; Andersen, B. M.; Davis, J. C. Seamus",NA,NA,NA,"SCIENCE","JUL 7 2017","2017","357","6346",NA,NA,NA,"76","+",NA,"10.1126/science.aal1575",NA,NA,"72","24",0,11,47,14
"Landscape of immunogenic tumor antigens in successful immunotherapy of virally induced epithelial cancer","Stevanovic, Sanja; Pasetto, Anna; Helman, Sarah R.; Gartner, Jared J.; Prickett, Todd D.; Howie, Bryan; Robins, Harlan S.; Robbins, Paul F.; Klebanoff, Christopher A.; Rosenberg, Steven A.; Hinrichs, Christian S.",NA,NA,NA,"SCIENCE","APR 14 2017","2017","356","6334",NA,NA,NA,"200","205",NA,"10.1126/science.aak9510",NA,NA,"72","24",0,10,43,19
"Cerebellar granule cells encode the expectation of reward","Wagner, Mark J.; Kim, Tony Hyun; Savall, Joan; Schnitzer, Mark J.; Luo, Liqun",NA,NA,NA,"NATURE","APR 6 2017","2017","544","7648",NA,NA,NA,"96","+",NA,"10.1038/nature21726",NA,NA,"72","24",0,17,42,13
"DNA damage is a pervasive cause of sequencing errors, directly confounding variant identification","Chen, Lixin; Liu, Pingfang; Evans, Thomas C; Ettwiller, Laurence M.",NA,NA,NA,"SCIENCE","FEB 17 2017","2017","355","6326",NA,NA,NA,"752","+",NA,"10.1126/science.aai8690",NA,NA,"72","24",0,14,43,15
"Strong coupling of a single electron in silicon to a microwave photon","Mi, X.; Cady, J. V.; Zajac, D. M.; Deelman, P. W.; Petta, J. R.",NA,NA,NA,"SCIENCE","JAN 13 2017","2017","355","6321",NA,NA,NA,"156","+",NA,"10.1126/science.aal2469",NA,NA,"72","24",0,21,35,16
"A general catalytic beta-C-H carbonylation of aliphatic amines to beta-lactams","Willcox, Darren; Chappell, Ben G. N.; Hogg, Kirsten F.; Calleja, Jonas; Smalley, Adam P.; Gaunt, Matthew J.",NA,NA,NA,"SCIENCE","NOV 18 2016","2016","354","6314",NA,NA,NA,"851","857",NA,"10.1126/science.aaf9621",NA,NA,"72","18",0,25,29,18
"Structural basis for the gating mechanism of the type 2 ryanodine receptor RyR2","Peng, Wei; Shen, Huaizong; Wu, Jianping; Guo, Wenting; Pan, Xiaojing; Wang, Ruiwu; Chen, S. R. Wayne; Yan, Nieng",NA,NA,NA,"SCIENCE","OCT 21 2016","2016","354","6310",NA,NA,NA,NA,NA,"aah5324","10.1126/science.aah5324",NA,NA,"72","18",4,27,30,11
"Surface patterning of nanoparticles with polymer patches","Choueiri, Rachelle M.; Galati, Elizabeth; Therien-Aubin, Heloise; Klinkova, Anna; Larin, Egor M.; Querejeta-Fernandez, Ana; Han, Lili; Xin, Huolin L.; Gang, Oleg; Zhulina, Ekaterina B.; Rubinstein, Michael; Kumacheva, Eugenia",NA,NA,NA,"NATURE","OCT 6 2016","2016","538","7623",NA,NA,NA,"79","83",NA,"10.1038/nature19089",NA,NA,"72","18",0,25,31,16
"Detection of local H2O exposed at the surface of Ceres","Combe, Jean-Philippe; McCord, Thomas B.; Tosi, Federico; Ammannito, Eleonora; Carrozzo, Filippo Giacomo; De Sanctis, Maria Cristina; Raponi, Andrea; Byrne, Shane; Landis, Margaret E.; Hughson, Kynan H. G.; Raymond, Carol A.; Russell, Christopher T.",NA,NA,NA,"SCIENCE","SEP 2 2016","2016","353","6303",NA,NA,NA,NA,NA,"aaf3010","10.1126/science.aaf3010",NA,NA,"72","18",3,19,25,25
"Dependence of the critical temperature in overdoped copper oxides on superfluid density","Bozovic, I.; He, X.; Wu, J.; Bollinger, A. T.",NA,NA,NA,"NATURE","AUG 18 2016","2016","536","7616",NA,NA,NA,"309","+",NA,"10.1038/nature19061",NA,NA,"72","18",6,24,29,13
"Structure of the T4 baseplate and its function in triggering sheath contraction","Taylor, Nicholas M. I.; Prokhorov, Nikolai S.; Guerrero-Ferreira, Ricardo C.; Shneider, Mikhail M.; Browning, Christopher; Goldie, Kenneth N.; Stahlberg, Henning; Leiman, Petr G.",NA,NA,NA,"NATURE","MAY 19 2016","2016","533","7603",NA,NA,NA,"346","+",NA,"10.1038/nature17971",NA,NA,"72","18",8,28,30,6
"Ubiquitination independent of E1 and E2 enzymes by bacterial effectors","Qiu, Jiazhang; Sheedlo, Michael J.; Yu, Kaiwen; Tan, Yunhao; Nakayasu, Ernesto S.; Das, Chittaranjan; Liu, Xiaoyun; Luo, Zhao-Qing",NA,NA,NA,"NATURE","MAY 5 2016","2016","533","7601",NA,NA,NA,"120","+",NA,"10.1038/nature17657",NA,NA,"72","18",9,30,27,6
"Direct observation of dynamic shear jamming in dense suspensions","Peters, Ivo R.; Majumdar, Sayantan; Jaeger, Heinrich M.",NA,NA,NA,"NATURE","APR 14 2016","2016","532","7598",NA,NA,NA,"214","+",NA,"10.1038/nature17167",NA,NA,"72","18",4,27,28,13
"The half-filled Landau level: The case for Dirac composite fermions","Geraedts, Scott D.; Zaletel, Michael P.; Mong, Roger S. K.; Metlitski, Max A.; Vishwanath, Ashvin; Motrunich, Olexei I.",NA,NA,NA,"SCIENCE","APR 8 2016","2016","352","6282",NA,NA,NA,"197","201",NA,"10.1126/science.aad4302",NA,NA,"72","18",22,22,23,5
"An interfacial mechanism for cloud droplet formation on organic aerosols","Ruehl, Christopher R.; Davies, James F.; Wilson, Kevin R.",NA,NA,NA,"SCIENCE","MAR 25 2016","2016","351","6280",NA,NA,NA,"1447","1450",NA,"10.1126/science.aad4889",NA,NA,"72","18",7,30,25,10
"Quasiparticle interference of the Fermi arcs and surface-bulk connectivity of a Weyl semimetal","Inoue, Hiroyuki; Gyenis, Andras; Wang, Zhijun; Li, Jian; Oh, Seong Woo; Jiang, Shan; Ni, Ni; Bernevig, B. Andrei; Yazdani, Ali",NA,NA,NA,"SCIENCE","MAR 11 2016","2016","351","6278",NA,NA,NA,"1184","1187",NA,"10.1126/science.aad8766",NA,NA,"72","18",16,26,25,5
"Transmutable nanoparticles with reconfigurable surface ligands","Kim, Youngeun; Macfarlane, Robert J.; Jones, Matthew R.; Mirkin, Chad A.",NA,NA,NA,"SCIENCE","FEB 5 2016","2016","351","6273",NA,NA,NA,"579","582",NA,"10.1126/science.aad2212",NA,NA,"72","18",15,24,23,10
